Event_Number ,Name,Country,Latitude,Longitude
1,Banzai Pipeline,USA,21.6644,-3158.053
2,Surf Abu Dhabi, UAE,24.4238,54.3328
3,Peniche,Portugal,39.3603,-9.3876
4,Punta Roca,El Salvador,13.4863,-89.3484
5,Bells Beach,Australia,-38.3614,144.2609
6,Snapper Rocks,Australia,-28.1625,153.55
7,Margaret River,Australia,-33.9535,115.063
8,Lower Trestles, USA,33.3853,-117.5939
9,Saquarema, Brazil,-22.8935,-42.4683
10,Jeffreys Bay,South Africa,-34.0543,24.9152
11,Teahupo'o,French Polynesia,-17.8471,-149.2677
12,Cloudbreak,Fiji,-17.8581,177.2018

